gene_symbol	ENTREZ_ID	is_coreseed	is_magma_sig	in_setA	P_meta	Q_meta	P_meta	GWAS_Grade	Q_gwas1	Q_gwas2
HS3ST3B1	9953	FALSE	FALSE	FALSE	0.185414	0.705653	0.185414	None	1	0.932357
NRF1	4899	FALSE	FALSE	FALSE	0.185448	0.705653	0.185448	None	0.938447	0.608725
FCF1	51077	FALSE	FALSE	FALSE	0.185547	0.705653	0.185547	None	0.950751	1
ISYNA1	51477	FALSE	FALSE	FALSE	0.185549	0.705653	0.185549	None	0.970084	0.995895
SLC16A9	220963	FALSE	FALSE	FALSE	0.185566	0.705653	0.185566	None	0.969258	0.995895
PCDHGB1	56104	FALSE	FALSE	FALSE	0.185891	0.706367	0.185891	None	0.974118	0.994733
MAMDC2	256691	FALSE	FALSE	FALSE	0.185904	0.706367	0.185904	None	0.83521	0.718359
SLC39A8	64116	FALSE	FALSE	FALSE	0.185909	0.706367	0.185909	None	0.942151	0.60574
CH25H	9023	FALSE	FALSE	FALSE	0.185911	0.706367	0.185911	None	0.985279	0.988207
DIRAS3	9077	FALSE	FALSE	FALSE	0.186095	0.706914	0.186095	None	1	0.963453
ZNF22	7570	FALSE	FALSE	FALSE	0.186134	0.706914	0.186134	None	1	0.930073
CENPN	55839	FALSE	FALSE	FALSE	0.186208	0.706945	0.186208	None	1	0.945081
KCTD15	79047	FALSE	FALSE	FALSE	0.186221	0.706945	0.186221	None	1	0.917404
ADIPOR1	51094	FALSE	FALSE	FALSE	0.186443	0.707639	0.186443	None	0.905166	0.676456
SNRPF	6636	FALSE	FALSE	FALSE	0.186655	0.708294	0.186655	None	0.775296	0.784459
TLN1	7094	FALSE	FALSE	FALSE	0.186824	0.708784	0.186824	None	1	0.937873
POU6F1	5463	FALSE	FALSE	FALSE	0.186883	0.70886	0.186883	None	0.93097	0.61749
FAM120A2P	445577	FALSE	FALSE	FALSE	0.186947	0.70891	0.186947	None	0.981358	0.989286
HORMAD2	150280	FALSE	FALSE	FALSE	0.187003	0.70891	0.187003	None	0.983906	0.473421
IL2RB	3560	FALSE	FALSE	FALSE	0.187015	0.70891	0.187015	None	0.962254	0.557836
ZBTB11	27107	FALSE	FALSE	FALSE	0.18721	0.709318	0.18721	None	0.871473	0.695724
VHL	7428	FALSE	FALSE	FALSE	0.187235	0.709318	0.187235	None	0.975023	0.991071
EMC8	10328	FALSE	FALSE	FALSE	0.187242	0.709318	0.187242	None	0.963079	0.555921
FDX1	2230	FALSE	FALSE	FALSE	0.187357	0.70948	0.187357	None	0.962254	0.560097
LRP5L	91355	FALSE	FALSE	FALSE	0.187401	0.70948	0.187401	None	0.95948	0.566879
PDILT	204474	FALSE	FALSE	FALSE	0.187403	0.70948	0.187403	None	0.962254	0.99786
CAVIN3	112464	FALSE	FALSE	FALSE	0.187448	0.709491	0.187448	None	0.986906	0.985268
UBTD1	80019	FALSE	FALSE	FALSE	0.187485	0.709491	0.187485	None	0.962254	0.99786
BCKDHA	593	FALSE	FALSE	FALSE	0.187682	0.710088	0.187682	None	1	0.92484
LURAP1	541468	FALSE	FALSE	FALSE	0.187973	0.71047	0.187973	None	0.804232	0.756761
UGCG	7357	FALSE	FALSE	FALSE	0.187988	0.71047	0.187988	None	1	0.949108
ASPSCR1	79058	FALSE	FALSE	FALSE	0.188023	0.71047	0.188023	None	0.873018	0.695478
CDKL2	8999	FALSE	FALSE	FALSE	0.188025	0.71047	0.188025	None	0.900632	0.680454
WBP4	11193	FALSE	FALSE	FALSE	0.188049	0.71047	0.188049	None	0.817697	0.741503
RHOD	29984	FALSE	FALSE	FALSE	0.18806	0.71047	0.18806	None	0.979655	0.487146
MFAP1	4236	FALSE	FALSE	FALSE	0.188091	0.71047	0.188091	None	0.9925	0.44139
ADGRD2	347088	FALSE	FALSE	FALSE	0.188114	0.71047	0.188114	None	0.985279	0.987703
NDUFAF3	25915	FALSE	FALSE	FALSE	0.18818	0.71047	0.18818	None	0.954945	0.583497
IMPDH2	3615	FALSE	FALSE	FALSE	0.18818	0.71047	0.18818	None	0.954945	0.583497
TBC1D9B	23061	FALSE	FALSE	FALSE	0.188283	0.710711	0.188283	None	0.923209	1
RAB31	11031	FALSE	FALSE	FALSE	0.188383	0.710746	0.188383	None	0.992958	0.408957
KCTD7	154881	FALSE	FALSE	FALSE	0.188442	0.710746	0.188442	None	0.9925	0.983695
TXNDC5	81567	FALSE	FALSE	FALSE	0.188449	0.710746	0.188449	None	0.99628	0.972937
CRACR2B	283229	FALSE	FALSE	FALSE	0.188451	0.710746	0.188451	None	0.963079	0.555921
GBP4	115361	FALSE	FALSE	FALSE	0.18852	0.710855	0.18852	None	0.915517	0.656113
BTBD18	643376	FALSE	FALSE	FALSE	0.188573	0.710907	0.188573	None	0.987027	0.455952
DYRK1B	9149	FALSE	FALSE	FALSE	0.188841	0.711733	0.188841	None	0.962839	0.557836
SELENOV	348303	FALSE	FALSE	FALSE	0.18891	0.711733	0.18891	None	1	0.963999
PCDHB11	56125	FALSE	FALSE	FALSE	0.188911	0.711733	0.188911	None	0.958015	0.998603
INSIG2	51141	FALSE	FALSE	FALSE	0.189008	0.711774	0.189008	None	0.845074	1
RALGAPB	57148	FALSE	FALSE	FALSE	0.18901	0.711774	0.18901	None	0.954945	0.588962
CILK1	22858	FALSE	FALSE	FALSE	0.189041	0.711774	0.189041	None	0.992958	0.980478
STAR	6770	FALSE	FALSE	FALSE	0.189128	0.711952	0.189128	None	0.681805	0.862968
GSDMA	284110	FALSE	FALSE	FALSE	0.189209	0.712064	0.189209	None	0.992958	0.97644
YDJC	150223	FALSE	FALSE	FALSE	0.189266	0.712064	0.189266	None	0.992958	0.976264
SLC25A27	9481	FALSE	FALSE	FALSE	0.189277	0.712064	0.189277	None	1	0.948517
CDH8	1006	FALSE	FALSE	FALSE	0.18936	0.712141	0.18936	None	0.925146	0.631576
COQ5	84274	FALSE	FALSE	FALSE	0.189422	0.712141	0.189422	None	0.963079	0.556515
TMEM263	90488	FALSE	FALSE	FALSE	0.189444	0.712141	0.189444	None	0.978292	0.989903
PARD3	56288	FALSE	FALSE	FALSE	0.189466	0.712141	0.189466	None	0.930195	0.622651
NETO1-DT	100505797	FALSE	FALSE	FALSE	0.189496	0.712141	0.189496	None	0.953306	1
GIMAP1-GIMAP5	100527949	FALSE	FALSE	FALSE	0.189556	0.712216	0.189556	None	1	0.95185
OR5M3	219482	FALSE	FALSE	FALSE	0.189695	0.712389	0.189695	None	0.966055	0.545609
CNNM4	26504	FALSE	FALSE	FALSE	0.189703	0.712389	0.189703	None	0.924126	0.637041
SOD1	6647	FALSE	FALSE	FALSE	0.189721	0.712389	0.189721	None	1	0.247912
IL22RA1	58985	FALSE	FALSE	FALSE	0.189836	0.712598	0.189836	None	0.975023	0.51402
LINC03034	283710	FALSE	FALSE	FALSE	0.189856	0.712598	0.189856	None	0.992958	0.977454
FBXO32	114907	FALSE	FALSE	FALSE	0.189905	0.712629	0.189905	None	0.992958	0.980546
NLRP2	55655	FALSE	FALSE	FALSE	0.189975	0.712743	0.189975	None	0.968232	0.996199
ZHX1	11244	FALSE	FALSE	FALSE	0.190144	0.713081	0.190144	None	1	0.933122
SPOP	8405	FALSE	FALSE	FALSE	0.190144	0.713081	0.190144	None	0.915517	0.666447
ENTREZ:389199	389199	FALSE	FALSE	FALSE	0.190275	0.713423	0.190275	None	0.964956	0.551516
KRTAP2-1	81872	FALSE	FALSE	FALSE	0.190353	0.713508	0.190353	None	1	0.937326
NUDT7	283927	FALSE	FALSE	FALSE	0.190395	0.713508	0.190395	None	0.923209	0.638564
FBXO45	200933	FALSE	FALSE	FALSE	0.190417	0.713508	0.190417	None	0.975023	0.507763
MYCN	4613	FALSE	FALSE	FALSE	0.190467	0.713546	0.190467	None	0.91962	0.646657
HARS2	23438	FALSE	FALSE	FALSE	0.190529	0.713628	0.190529	None	0.79135	0.780849
MYO18A	399687	FALSE	FALSE	FALSE	0.190659	0.713966	0.190659	None	0.975023	0.502041
SLC39A12	221074	FALSE	FALSE	FALSE	0.190813	0.714107	0.190813	None	0.866523	0.701192
CYP4F22	126410	FALSE	FALSE	FALSE	0.190868	0.714107	0.190868	None	0.898457	0.684086
RAD50	10111	FALSE	FALSE	FALSE	0.190869	0.714107	0.190869	None	0.992958	0.981356
TXN	7295	FALSE	FALSE	FALSE	0.190884	0.714107	0.190884	None	0.968408	0.996199
SMC5	23137	FALSE	FALSE	FALSE	0.190896	0.714107	0.190896	None	0.912329	0.673332
GPATCH4	54865	FALSE	FALSE	FALSE	0.190965	0.714216	0.190965	None	0.893992	1
PHLPP1	23239	FALSE	FALSE	FALSE	0.191052	0.714316	0.191052	None	0.975023	0.500073
NMNAT1	64802	FALSE	FALSE	FALSE	0.191071	0.714316	0.191071	None	1	0.964842
SLC25A22	79751	FALSE	FALSE	FALSE	0.191128	0.714379	0.191128	None	0.925146	0.630866
GPR18	2841	FALSE	FALSE	FALSE	0.191239	0.714644	0.191239	None	0.968606	0.541825
RHBDL2	54933	FALSE	FALSE	FALSE	0.191404	0.714917	0.191404	None	0.925146	0.63523
NAALADL1	10004	FALSE	FALSE	FALSE	0.191423	0.714917	0.191423	None	0.991703	0.983582
TMEM215	401498	FALSE	FALSE	FALSE	0.191432	0.714917	0.191432	None	0.845491	0.71574
AP1B1	162	FALSE	FALSE	FALSE	0.19155	0.71521	0.19155	None	0.850567	0.713878
BIN3	55909	FALSE	FALSE	FALSE	0.19161	0.715222	0.19161	None	0.715203	0.845806
POU6F2	11281	FALSE	FALSE	FALSE	0.191673	0.715222	0.191673	None	0.854649	0.710798
MS4A15	219995	FALSE	FALSE	FALSE	0.191682	0.715222	0.191682	None	1	0.943525
LXN	56925	FALSE	FALSE	FALSE	0.191741	0.715222	0.191741	None	0.925146	0.631576
ANAPC5	51433	FALSE	FALSE	FALSE	0.19176	0.715222	0.19176	None	0.981358	0.989286
DGLUCY	80017	FALSE	FALSE	FALSE	0.191797	0.715222	0.191797	None	0.822078	0.73872
APH1A	51107	FALSE	FALSE	FALSE	0.191841	0.715222	0.191841	None	0.974118	0.522412
PGF	5228	FALSE	FALSE	FALSE	0.191914	0.715222	0.191914	None	0.964108	0.997045
MT1A	4489	FALSE	FALSE	FALSE	0.19201	0.715222	0.19201	None	0.976983	0.989903
CDC14A	8556	FALSE	FALSE	FALSE	0.192013	0.715222	0.192013	None	0.915517	0.662637
PTRHD1	391356	FALSE	FALSE	FALSE	0.192036	0.715222	0.192036	None	0.975023	0.500158
UBE4A	9354	FALSE	FALSE	FALSE	0.192081	0.715222	0.192081	None	1	0.942078
DMBT1	1755	FALSE	FALSE	FALSE	0.192108	0.715222	0.192108	None	0.981358	0.48482
SCUBE3	222663	FALSE	FALSE	FALSE	0.192112	0.715222	0.192112	None	0.975023	0.992503
MYC	4609	FALSE	FALSE	FALSE	0.192198	0.715396	0.192198	None	0.948229	0.596051
ZNF778	197320	FALSE	FALSE	FALSE	0.192301	0.715418	0.192301	None	1	0.919688
CD48	962	FALSE	FALSE	FALSE	0.192311	0.715418	0.192311	None	0.992958	0.433262
OLFM2	93145	FALSE	FALSE	FALSE	0.192324	0.715418	0.192324	None	0.9925	0.443858
PSMD3	5709	FALSE	FALSE	FALSE	0.192371	0.715444	0.192371	None	0.987484	0.984937
DNAAF4	161582	FALSE	FALSE	FALSE	0.192426	0.7155	0.192426	None	0.992958	0.976708
BBOF1	80127	FALSE	FALSE	FALSE	0.192578	0.715919	0.192578	None	0.990091	0.448557
MLLT1	4298	FALSE	FALSE	FALSE	0.192666	0.715922	0.192666	None	0.930195	0.62457
ZBTB7A	51341	FALSE	FALSE	FALSE	0.192676	0.715922	0.192676	None	0.911121	1
MSMP	692094	FALSE	FALSE	FALSE	0.192703	0.715922	0.192703	None	0.998624	0.969941
HAS3	3038	FALSE	FALSE	FALSE	0.192739	0.715922	0.192739	None	0.807726	0.75731
JCHAIN	3512	FALSE	FALSE	FALSE	0.192975	0.716362	0.192975	None	1	0.945152
KCNH2	3757	FALSE	FALSE	FALSE	0.192995	0.716362	0.192995	None	0.838312	0.724734
GIMAP4	55303	FALSE	FALSE	FALSE	0.193054	0.716362	0.193054	None	1	0.93124
PCBD1	5092	FALSE	FALSE	FALSE	0.193076	0.716362	0.193076	None	1	0.853398
DNASE1L2	1775	FALSE	FALSE	FALSE	0.193078	0.716362	0.193078	None	0.845491	0.718107
MYRFL	196446	FALSE	FALSE	FALSE	0.193097	0.716362	0.193097	None	0.832992	0.728255
PLEKHG7	440107	FALSE	FALSE	FALSE	0.19321	0.716633	0.19321	None	1	0.964842
CA4	762	FALSE	FALSE	FALSE	0.193258	0.716661	0.193258	None	0.94339	0.607735
KISS1R	84634	FALSE	FALSE	FALSE	0.193335	0.716676	0.193335	None	1	0.896628
GASK1A	729085	FALSE	FALSE	FALSE	0.193342	0.716676	0.193342	None	0.999655	0.966821
RCBTB1	55213	FALSE	FALSE	FALSE	0.193387	0.716694	0.193387	None	1	0.959258
TRIM61	391712	FALSE	FALSE	FALSE	0.193427	0.716696	0.193427	None	0.915517	0.666447
DEFB129	140881	FALSE	FALSE	FALSE	0.193492	0.716789	0.193492	None	0.994988	0.972937
PCDH18	54510	FALSE	FALSE	FALSE	0.193582	0.716967	0.193582	None	0.925179	0.62964
TRPC4AP	26133	FALSE	FALSE	FALSE	0.19362	0.716967	0.19362	None	0.992958	0.980478
ZNF521	25925	FALSE	FALSE	FALSE	0.193774	0.717291	0.193774	None	0.975023	0.511691
GPRC5B	51704	FALSE	FALSE	FALSE	0.193788	0.717291	0.193788	None	0.994988	0.400213
PPP1R2	5504	FALSE	FALSE	FALSE	0.193828	0.717292	0.193828	None	1	0.961676
OSTC	58505	FALSE	FALSE	FALSE	0.193928	0.71733	0.193928	None	0.931735	0.622651
MMS19	64210	FALSE	FALSE	FALSE	0.193989	0.71733	0.193989	None	0.93097	1
TMEM200C	645369	FALSE	FALSE	FALSE	0.194003	0.71733	0.194003	None	1	0.354638
COL6A1	1291	FALSE	FALSE	FALSE	0.194043	0.71733	0.194043	None	0.985279	0.986161
PHF11	51131	FALSE	FALSE	FALSE	0.194044	0.71733	0.194044	None	0.925179	1
NDUFAF2	91942	FALSE	FALSE	FALSE	0.194117	0.71733	0.194117	None	0.917457	0.658944
RIOK1	83732	FALSE	FALSE	FALSE	0.194149	0.71733	0.194149	None	0.970084	0.994733
IGF2BP1	10642	FALSE	FALSE	FALSE	0.194179	0.71733	0.194179	None	0.997312	0.971634
TEX52	101929469	FALSE	FALSE	FALSE	0.194199	0.71733	0.194199	None	0.821867	0.742193
DDOST	1650	FALSE	FALSE	FALSE	0.194337	0.717693	0.194337	None	1	0.930073
GPR27	2850	FALSE	FALSE	FALSE	0.1944	0.71778	0.1944	None	0.829675	0.733245
SHLD2	54537	FALSE	FALSE	FALSE	0.194463	0.71778	0.194463	None	0.892914	0.688459
JAKMIP1	152789	FALSE	FALSE	FALSE	0.194481	0.71778	0.194481	None	1	0.954557
WT1	7490	FALSE	FALSE	FALSE	0.194565	0.717888	0.194565	None	0.999655	0.968389
GOSR1	9527	FALSE	FALSE	FALSE	0.194598	0.717888	0.194598	None	0.757781	0.796061
FTSJ3	117246	FALSE	FALSE	FALSE	0.19463	0.717888	0.19463	None	0.812823	0.754553
CCHCR1	54535	FALSE	FALSE	FALSE	0.194687	0.717941	0.194687	None	0.980737	0.989286
FABP12	646486	FALSE	FALSE	FALSE	0.194724	0.717941	0.194724	None	0.923209	1
ZSCAN20	7579	FALSE	FALSE	FALSE	0.194775	0.717981	0.194775	None	1	0.936922
DSTYK	25778	FALSE	FALSE	FALSE	0.194827	0.718025	0.194827	None	0.82665	0.737787
CAPSL	133690	FALSE	FALSE	FALSE	0.194917	0.718058	0.194917	None	0.821867	0.740836
PLPP3	8613	FALSE	FALSE	FALSE	0.194949	0.718058	0.194949	None	0.75594	0.802662
LRRC47	57470	FALSE	FALSE	FALSE	0.194987	0.718058	0.194987	None	1	0.949199
CDR2L	30850	FALSE	FALSE	FALSE	0.194997	0.718058	0.194997	None	1	0.964842
COL6A2	1292	FALSE	FALSE	FALSE	0.195098	0.718058	0.195098	None	0.923209	0.644415
C1QTNF9	338872	FALSE	FALSE	FALSE	0.195123	0.718058	0.195123	None	0.992958	0.975174
ARMC1	55156	FALSE	FALSE	FALSE	0.195127	0.718058	0.195127	None	0.765696	0.79199
PCDHGA4	56111	FALSE	FALSE	FALSE	0.195157	0.718058	0.195157	None	0.974505	0.993204
SGPP2	130367	FALSE	FALSE	FALSE	0.1952	0.718069	0.1952	None	0.968885	0.995895
STT3B	201595	FALSE	FALSE	FALSE	0.195264	0.718095	0.195264	None	0.981358	0.989286
RAB3IL1	5866	FALSE	FALSE	FALSE	0.195287	0.718095	0.195287	None	0.829694	0.733245
PSMD4	5710	FALSE	FALSE	FALSE	0.195368	0.718182	0.195368	None	0.962254	0.565669
SPP2	6694	FALSE	FALSE	FALSE	0.195391	0.718182	0.195391	None	0.744794	0.818022
NFKB1	4790	FALSE	FALSE	FALSE	0.195445	0.718233	0.195445	None	0.984255	0.483593
E2F8	79733	FALSE	FALSE	FALSE	0.195497	0.71824	0.195497	None	1	0.900079
UQCC3	790955	FALSE	FALSE	FALSE	0.195527	0.71824	0.195527	None	0.75594	0.810424
SUGP2	10147	FALSE	FALSE	FALSE	0.195712	0.718772	0.195712	None	0.981358	0.488322
ALKBH3	221120	FALSE	FALSE	FALSE	0.195763	0.718815	0.195763	None	0.943263	0.613252
CCDC25	55246	FALSE	FALSE	FALSE	0.195838	0.71894	0.195838	None	0.800242	0.774479
R3HDM2	22864	FALSE	FALSE	FALSE	0.195992	0.719286	0.195992	None	0.975023	0.516844
TADA2B	93624	FALSE	FALSE	FALSE	0.196012	0.719286	0.196012	None	0.871808	1
WWTR1	25937	FALSE	FALSE	FALSE	0.196235	0.719792	0.196235	None	0.954945	0.998975
RETREG1	54463	FALSE	FALSE	FALSE	0.196267	0.719792	0.196267	None	0.975023	0.990047
GPX1	2876	FALSE	FALSE	FALSE	0.19627	0.719792	0.19627	None	0.999655	0.372511
HHIPL2	79802	FALSE	FALSE	FALSE	0.196363	0.719985	0.196363	None	0.975023	0.51943
TAS2R5	54429	FALSE	FALSE	FALSE	0.196505	0.720358	0.196505	None	0.907873	0.683196
HHEX	3087	FALSE	FALSE	FALSE	0.196596	0.720544	0.196596	None	0.990114	0.983272
H4C16	121504	FALSE	FALSE	FALSE	0.196746	0.72073	0.196746	None	0.919599	0.659283
PRICKLE2	166336	FALSE	FALSE	FALSE	0.196748	0.72073	0.196748	None	0.932503	0.625166
ARHGAP24	83478	FALSE	FALSE	FALSE	0.196767	0.72073	0.196767	None	0.898813	0.687911
CC2D2A	57545	FALSE	FALSE	FALSE	0.196891	0.72085	0.196891	None	0.804232	0.764065
WDR11	55717	FALSE	FALSE	FALSE	0.196924	0.72085	0.196924	None	0.974831	0.523763
RUSC2	9853	FALSE	FALSE	FALSE	0.196967	0.72085	0.196967	None	0.915186	0.674446
MYO5A	4644	FALSE	FALSE	FALSE	0.196971	0.72085	0.196971	None	0.79135	0.784676
FAXC	84553	FALSE	FALSE	FALSE	0.197007	0.72085	0.197007	None	1	0.958901
WTIP	126374	FALSE	FALSE	FALSE	0.197042	0.72085	0.197042	None	0.928948	0.630705
DCTD	1635	FALSE	FALSE	FALSE	0.197108	0.720913	0.197108	None	0.969258	0.541825
PSMC5	5705	FALSE	FALSE	FALSE	0.197151	0.720913	0.197151	None	0.810814	0.75748
HNRNPH1	3187	FALSE	FALSE	FALSE	0.197347	0.720913	0.197347	None	1	0.928979
C2CD2L	9854	FALSE	FALSE	FALSE	0.197359	0.720913	0.197359	None	0.866523	0.709171
PF4	5196	FALSE	FALSE	FALSE	0.197375	0.720913	0.197375	None	0.913104	0.675088
RANBP3	8498	FALSE	FALSE	FALSE	0.197401	0.720913	0.197401	None	0.866259	0.709171
COL8A1	1295	FALSE	FALSE	FALSE	0.197468	0.720913	0.197468	None	0.965525	0.996199
TEX9	374618	FALSE	FALSE	FALSE	0.197499	0.720913	0.197499	None	1	0.895858
BCR	613	FALSE	FALSE	FALSE	0.197501	0.720913	0.197501	None	0.954945	0.595411
ZMYM5	9205	FALSE	FALSE	FALSE	0.197571	0.720913	0.197571	None	0.845491	0.722687
PLEKHG3	26030	FALSE	FALSE	FALSE	0.197573	0.720913	0.197573	None	1	0.95053
UMOD	7369	FALSE	FALSE	FALSE	0.19759	0.720913	0.19759	None	0.975023	0.991372
MAPK4	5596	FALSE	FALSE	FALSE	0.19761	0.720913	0.19761	None	1	0.934025
UBB	7314	FALSE	FALSE	FALSE	0.197637	0.720913	0.197637	None	0.997794	0.970735
PPBP	5473	FALSE	FALSE	FALSE	0.197662	0.720913	0.197662	None	0.915517	0.674121
LCN9	392399	FALSE	FALSE	FALSE	0.197752	0.721031	0.197752	None	0.71452	0.855333
RNF157	114804	FALSE	FALSE	FALSE	0.197775	0.721031	0.197775	None	0.992958	0.976824
MS4A12	54860	FALSE	FALSE	FALSE	0.197886	0.721098	0.197886	None	0.992958	0.977774
CD151	977	FALSE	FALSE	FALSE	0.197896	0.721098	0.197896	None	0.93241	0.625263
ANKRA2	57763	FALSE	FALSE	FALSE	0.197982	0.721098	0.197982	None	0.952837	0.999289
LRRC26	389816	FALSE	FALSE	FALSE	0.198047	0.721098	0.198047	None	0.93218	
PRXL2C	195827	FALSE	FALSE	FALSE	0.198049	0.721098	0.198049	None	0.994988	0.405368
ARHGEF26	26084	FALSE	FALSE	FALSE	0.198093	0.721098	0.198093	None	0.71972	0.835452
VIPAS39	63894	FALSE	FALSE	FALSE	0.198111	0.721098	0.198111	None	0.954945	0.594933
DRAXIN	374946	FALSE	FALSE	FALSE	0.198146	0.721098	0.198146	None	0.775296	0.7914
VTI1A	143187	FALSE	FALSE	FALSE	0.198155	0.721098	0.198155	None	0.992787	0.980142
CISD1	55847	FALSE	FALSE	FALSE	0.198362	0.721499	0.198362	None	1	0.935227
OR1D2	4991	FALSE	FALSE	FALSE	0.198411	0.721499	0.198411	None	0.986199	0.4737
DRC8	84288	FALSE	FALSE	FALSE	0.198422	0.721499	0.198422	None	1	0.962909
MTHFR	4524	FALSE	FALSE	FALSE	0.198426	0.721499	0.198426	None	0.967611	0.555273
DDAH1	23576	FALSE	FALSE	FALSE	0.198497	0.721611	0.198497	None	0.728598	0.824382
TVP23B	51030	FALSE	FALSE	FALSE	0.198653	0.721886	0.198653	None	0.803853	0.766433
PAK2	5062	FALSE	FALSE	FALSE	0.198654	0.721886	0.198654	None	1	0.941933
MDN1	23195	FALSE	FALSE	FALSE	0.198697	0.721898	0.198697	None	1	0.944185
PNPLA8	50640	FALSE	FALSE	FALSE	0.198802	0.722058	0.198802	None	0.965947	0.557578
NME4	4833	FALSE	FALSE	FALSE	0.198822	0.722058	0.198822	None	0.992958	0.975142
PLA2G10	8399	FALSE	FALSE	FALSE	0.198934	0.722297	0.198934	None	0.946898	0.606561
CD3D	915	FALSE	FALSE	FALSE	0.198977	0.722297	0.198977	None	1	0.935136
ENTREZ:100506627	100506627	FALSE	FALSE	FALSE	0.199009	0.722297	0.199009	None	0.936196	0.622651
MPST	4357	FALSE	FALSE	FALSE	0.199077	0.722401	0.199077	None	1	0.860089
RGP1	9827	FALSE	FALSE	FALSE	0.199172	0.722504	0.199172	None	0.997312	0.970762
TMEM221	100130519	FALSE	FALSE	FALSE	0.199223	0.722504	0.199223	None	0.994988	0.971964
SLC17A8	246213	FALSE	FALSE	FALSE	0.199233	0.722504	0.199233	None	0.9925	0.448557
TRIML2	205860	FALSE	FALSE	FALSE	0.199267	0.722504	0.199267	None	0.96892	0.544395
C19orf44	84167	FALSE	FALSE	FALSE	0.199392	0.722718	0.199392	None	0.963079	0.99703
LY6E	4061	FALSE	FALSE	FALSE	0.199427	0.722718	0.199427	None	0.800242	0.772688
EPB41L4B	54566	FALSE	FALSE	FALSE	0.199447	0.722718	0.199447	None	0.915517	0.674614
ZNF510	22869	FALSE	FALSE	FALSE	0.199508	0.722793	0.199508	None	0.800242	0.774479
ZNF784	147808	FALSE	FALSE	FALSE	0.199669	0.72323	0.199669	None	0.919599	0.658944
ST8SIA3	51046	FALSE	FALSE	FALSE	0.199751	0.723232	0.199751	None	0.954681	0.596051
SLBP	7884	FALSE	FALSE	FALSE	0.199761	0.723232	0.199761	None	1	0.263901
LARGE2	120071	FALSE	FALSE	FALSE	0.199847	0.723232	0.199847	None	0.800242	0.776488
ZNF140	7699	FALSE	FALSE	FALSE	0.199949	0.723232	0.199949	None	0.965525	0.558678
DLGAP2	9228	FALSE	FALSE	FALSE	0.199958	0.723232	0.199958	None	0.924766	0.647222
FUS	2521	FALSE	FALSE	FALSE	0.200051	0.723232	0.200051	None	1	0.961533
OAZ3	51686	FALSE	FALSE	FALSE	0.200084	0.723232	0.200084	None	0.865467	0.710798
KCNE2	9992	FALSE	FALSE	FALSE	0.200114	0.723232	0.200114	None	0.992958	0.975174
DDB1	1642	FALSE	FALSE	FALSE	0.200116	0.723232	0.200116	None	0.970708	0.993266
EXTL2	2135	FALSE	FALSE	FALSE	0.200125	0.723232	0.200125	None	1	0.950892
ETS1	2113	FALSE	FALSE	FALSE	0.200182	0.723232	0.200182	None	0.992958	0.975089
ZNF10	7556	FALSE	FALSE	FALSE	0.200196	0.723232	0.200196	None	0.989757	0.459792
EFCAB12	90288	FALSE	FALSE	FALSE	0.200216	0.723232	0.200216	None	0.911121	0.684086
SPINK6	404203	FALSE	FALSE	FALSE	0.200234	0.723232	0.200234	None	1	0.9517
SLC18B1	116843	FALSE	FALSE	FALSE	0.200286	0.72325	0.200286	None	0.911121	0.682724
HSDL2	84263	FALSE	FALSE	FALSE	0.20032	0.72325	0.20032	None	0.753974	0.819481
ZNF398	57541	FALSE	FALSE	FALSE	0.200368	0.723277	0.200368	None	0.998059	0.969428
MLST8	64223	FALSE	FALSE	FALSE	0.200536	0.723737	0.200536	None	0.85845	0.71574
ENTREZ:643314	643314	FALSE	FALSE	FALSE	0.200582	0.723759	0.200582	None	0.91962	1
CXCL14	9547	FALSE	FALSE	FALSE	0.200733	0.724027	0.200733	None	0.992958	0.976306
RNF24	11237	FALSE	FALSE	FALSE	0.200781	0.724027	0.200781	None	0.9925	0.451649
TP63	8626	FALSE	FALSE	FALSE	0.200816	0.724027	0.200816	None	0.966055	0.995895
CDKN3	1033	FALSE	FALSE	FALSE	0.200856	0.724027	0.200856	None	0.992958	0.975584
ZNF836	162962	FALSE	FALSE	FALSE	0.200877	0.724027	0.200877	None	0.923209	1
ZNF638	27332	FALSE	FALSE	FALSE	0.200916	0.724027	0.200916	None	0.925146	0.638564
TAS2R3	50831	FALSE	FALSE	FALSE	0.200939	0.724027	0.200939	None	0.911121	0.684245
COX4I1	1327	FALSE	FALSE	FALSE	0.201047	0.724143	0.201047	None	0.967611	0.556515
PENK	5179	FALSE	FALSE	FALSE	0.201052	0.724143	0.201052	None	0.79135	0.788685
PSAP	5660	FALSE	FALSE	FALSE	0.201107	0.724194	0.201107	None	0.71972	0.836154
TMTC2	160335	FALSE	FALSE	FALSE	0.201176	0.724299	0.201176	None	0.975023	0.989903
VDAC2	7417	FALSE	FALSE	FALSE	0.201276	0.724328	0.201276	None	0.800242	0.774479
SLC35E3	55508	FALSE	FALSE	FALSE	0.201309	0.724328	0.201309	None	0.968885	0.547443
ADGRG1	9289	FALSE	FALSE	FALSE	0.20132	0.724328	0.20132	None	1	0.871453
MEGF8	1954	FALSE	FALSE	FALSE	0.201346	0.724328	0.201346	None	0.912098	0.681954
PNLIP	5406	FALSE	FALSE	FALSE	0.201501	0.724742	0.201501	None	0.992958	0.433262
